,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lr_adam,params_lr_sgd,params_momentum,params_optimizer,params_out_dim,params_temperature,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
15,15,inf,2025-10-04 01:41:34.544457,2025-10-04 02:02:28.779943,0 days 00:20:54.235486,256,,0.02639858402014034,0.8639820169314815,SGD,64,0.6897974101966835,0.0006387283007587756,5.53244913816452,,,COMPLETE
16,16,inf,2025-10-04 02:02:28.814139,2025-10-04 02:58:15.619014,0 days 00:55:46.804875,512,,0.08626743821442208,0.9655100597618861,SGD,64,0.19125607568693073,2.8453356654570863e-06,4.552001627286275,,,COMPLETE
17,17,inf,2025-10-04 02:58:15.645206,2025-10-04 03:48:13.776090,0 days 00:49:58.130884,256,,0.023170546088442604,0.9302516333885081,SGD,64,0.14181761293043424,0.0003177224546859667,4.166229116916656,3.8205456535021463,3.491009364525477,COMPLETE
18,18,inf,2025-10-04 03:48:13.799734,2025-10-04 04:45:24.638386,0 days 00:57:10.838652,512,,0.1806311654337427,0.8388893927823229,SGD,64,0.6507588453778013,1.399988517389187e-05,6.022305266062419,,,COMPLETE
19,19,inf,2025-10-04 04:45:24.663090,2025-10-04 05:37:00.608412,0 days 00:51:35.945322,256,,0.08329752023432445,0.8733040633235316,SGD,128,0.2657260901974965,5.9293197877358125e-05,4.540137600898743,,,COMPLETE
20,20,inf,2025-10-04 05:37:00.630152,2025-10-04 05:47:12.989057,0 days 00:10:12.358905,256,,0.033698726798536326,0.8241186526252812,SGD,64,0.9448544517264726,2.5412454058753233e-05,5.787357004483541,,,COMPLETE
21,21,inf,2025-10-04 05:47:13.020012,2025-10-04 06:38:32.526653,0 days 00:51:19.506641,256,1.3657398618936108e-05,,,AdamW,256,0.13665848381161683,3.347781851569812e-05,5.287792996565501,4.685031048456827,,COMPLETE
22,22,inf,2025-10-04 06:38:32.554654,2025-10-04 07:30:05.349162,0 days 00:51:32.794508,256,1.7012772374343654e-05,,,AdamW,256,0.05862800194238588,7.285779762416503e-06,5.013200298945109,,,COMPLETE
23,23,3.674197961886724,2025-10-04 07:30:05.379914,2025-10-04 09:11:33.227029,0 days 01:41:27.847115,256,8.550727319315808e-05,,,AdamW,256,0.16488181468209034,0.0001268304761146569,3.920822326342265,,,COMPLETE
24,24,inf,2025-10-04 09:11:33.260605,2025-10-04 09:32:12.796954,0 days 00:20:39.536349,256,0.0001121876445171266,,,AdamW,256,0.2855911859398895,0.00016017976906988177,4.996387497584025,4.825762621561686,,COMPLETE
25,25,inf,2025-10-04 09:32:12.827581,2025-10-04 10:24:23.913345,0 days 00:52:11.085764,256,,0.06668205291193467,0.8915356642866304,SGD,256,0.16941647141823046,0.0004212232678456464,4.132260247071584,,,COMPLETE
26,26,3.3653672138849893,2025-10-04 10:24:23.936453,2025-10-04 12:19:11.252643,0 days 01:54:47.316190,512,0.00015846523680533274,,,AdamW,64,0.10880810927364991,0.00013454425205092723,4.499655977884928,3.7963988622029623,,COMPLETE
27,27,inf,2025-10-04 12:19:11.281902,2025-10-04 13:16:56.642557,0 days 00:57:45.360655,512,,0.019301769813446914,0.9278341132180392,SGD,64,0.09697016772272687,2.181538114948483e-06,4.77435564994812,4.053519614537557,3.3398403882980348,COMPLETE
28,28,inf,2025-10-04 13:16:56.675245,2025-10-04 13:29:24.205257,0 days 00:12:27.530012,512,0.00026472646934190807,,,AdamW,64,0.4305171949766492,8.52635108587655e-05,5.8461236476898195,,,COMPLETE
29,29,inf,2025-10-04 13:29:24.226862,2025-10-04 13:42:06.710640,0 days 00:12:42.483778,512,0.008966776600124253,,,AdamW,64,0.2250696717777939,7.0747108752234684e-06,5.8113510767618815,,,COMPLETE
30,30,inf,2025-10-04 13:42:06.742167,2025-10-04 13:54:45.840187,0 days 00:12:39.098020,512,,0.11874545246523634,0.8459335029682574,SGD,64,0.5911047875047676,0.00024407030833178156,6.126034053166707,,,COMPLETE
31,31,inf,2025-10-04 13:54:45.866137,2025-10-04 14:07:55.752408,0 days 00:13:09.886271,512,6.287521213457867e-05,,,AdamW,256,0.1277612607311145,0.00013953613421851152,5.6350880781809485,,,COMPLETE
32,32,inf,2025-10-04 14:07:55.780515,2025-10-04 14:19:57.153186,0 days 00:12:01.372671,512,6.563492938876333e-05,,,AdamW,128,0.330560925602752,5.87618820553237e-05,5.919297536214192,,,COMPLETE
33,33,inf,2025-10-04 14:19:57.181391,2025-10-04 15:12:19.598079,0 days 00:52:22.416688,256,0.00025077210846488753,,,AdamW,64,0.2082576710365348,0.0001291684356855115,4.365099028746287,4.128149803479513,,COMPLETE
34,34,inf,2025-10-04 15:12:19.622505,2025-10-04 15:24:15.397642,0 days 00:11:55.775137,512,5.0804950180418786e-05,,,AdamW,256,0.3762163034137481,6.307502257302067e-05,6.038006909688314,,,COMPLETE
35,35,2.6363558689753215,2025-10-04 15:24:15.429135,2025-10-04 17:07:57.385940,0 days 01:43:41.956805,256,0.0005035501786065863,,,AdamW,64,0.10195929862524843,9.085542448970597e-05,3.858025880654653,3.434574043750763,2.976656611760457,COMPLETE
36,36,inf,2025-10-04 17:07:57.414141,2025-10-04 18:06:38.157645,0 days 00:58:40.743504,512,0.0005377899223854145,,,AdamW,64,0.09608027743013178,0.00010354957379419873,4.457909838358561,3.8179349342981976,3.2683529615402223,COMPLETE
37,37,inf,2025-10-04 18:06:38.179642,2025-10-04 18:28:03.665940,0 days 00:21:25.486298,256,0.000560612715024595,,,AdamW,64,0.32260630437041526,2.188585805927496e-05,4.9332964539527895,4.807926718393961,,COMPLETE
38,38,inf,2025-10-04 18:28:03.693394,2025-10-04 18:39:50.916203,0 days 00:11:47.222809,512,0.004243542444208297,,,AdamW,64,0.8298670082986777,0.00021013965928643195,6.3281978925069176,,,COMPLETE
39,39,inf,2025-10-04 18:39:50.947905,2025-10-04 19:00:51.847796,0 days 00:21:00.899891,256,,0.05614380342430661,0.8175316407097858,SGD,128,0.2583990438573853,0.0004411744474411471,4.75403155485789,4.751494109630585,,COMPLETE
40,40,inf,2025-10-04 19:00:51.873102,2025-10-04 19:12:13.805379,0 days 00:11:21.932277,512,0.00016359751079989525,,,AdamW,64,0.10788872426844347,4.158157761073319e-05,5.2922886371612545,,,COMPLETE
41,41,inf,2025-10-04 19:12:13.835223,2025-10-04 20:03:54.347218,0 days 00:51:40.511995,256,3.552006344282067e-05,,,AdamW,256,0.16973274229914967,0.00019904765935219035,4.789829035600026,4.24011177221934,,COMPLETE
42,42,inf,2025-10-04 20:03:54.373430,2025-10-04 20:25:27.550896,0 days 00:21:33.177466,256,0.00013331276727990797,,,AdamW,64,0.06679665689656725,9.322604094935662e-05,4.932469761371612,4.059072681268057,,COMPLETE
43,43,3.55993115901947,2025-10-04 20:25:27.574893,2025-10-04 22:12:21.877088,0 days 01:46:54.302195,256,0.00050405196631225,,,AdamW,64,0.1668793434780165,5.923607375576262e-05,4.035159071286519,3.7153965453306834,,COMPLETE
44,44,2.4757467170556384,2025-10-04 22:12:21.900773,2025-10-04 23:57:02.371522,0 days 01:44:40.470749,256,0.0005274066123680802,,,AdamW,64,0.05307224849151867,5.0192431172415185e-05,4.524818480014801,3.7003992597262063,2.7926448543866473,COMPLETE
45,45,inf,2025-10-04 23:57:02.395922,2025-10-05 00:49:04.055077,0 days 00:52:01.659155,256,0.00037060633142126033,,,AdamW,64,0.10559322097819657,4.430456945382696e-05,4.072942185401916,3.5009583870569867,3.144748584429423,COMPLETE
46,46,inf,2025-10-05 00:49:04.078937,2025-10-05 01:10:26.676342,0 days 00:21:22.597405,256,,0.19029391642690935,0.8528002657715668,SGD,64,0.22585228746631913,2.5466883564627624e-05,4.716647537549337,4.477179495493571,,COMPLETE
47,47,3.250411772727966,2025-10-05 01:10:26.702516,2025-10-05 02:26:04.345989,0 days 01:15:37.643473,512,,0.010688348919972905,0.9190865603030612,SGD,64,0.05599807959807467,9.818010941581481e-06,3.250411772727966,,,COMPLETE
48,48,2.4385495990514756,2025-10-05 02:26:04.370484,2025-10-05 04:08:25.530067,0 days 01:42:21.159583,256,,0.014720042723649098,0.9214322894499637,SGD,64,0.05316727044555556,8.471244577031029e-06,4.512475673357645,3.6468028386433917,2.873568586508433,COMPLETE
49,49,inf,2025-10-05 04:08:25.557261,2025-10-05 04:30:30.836098,0 days 00:22:05.278837,256,,0.015737568738667745,0.9548678336097318,SGD,128,0.05034448719870116,1.4846477376015988e-06,4.4012668689092,3.8236958384513855,,COMPLETE
